,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
243,IGL,EQ,2018-05-02,287.7,285.6,288.45,279.1,        280.20,279.95,281.14,2374430,667548086.3,58649,1515625,63.83,5,2018,471.9376091099583,-0.02693778241223499,Slight or No change
244,IGL,EQ,2018-05-03,279.95,280.5,280.8,265.2,        271.00,271.25,271.56,3645412,989932567.9,66349,1733461,47.55,5,2018,469.6778260181645,-0.031076978031791325,Slight or No change
245,IGL,EQ,2018-05-04,271.25,270.55,275.75,261.0,        272.45,271.5,267.43,4990560,1334646131.45,53167,2356849,47.23,5,2018,466.66925503386403,0.0009216589861751334,Slight or No change
246,IGL,EQ,2018-05-07,271.5,273.95,276.2,263.9,        267.70,266.4,268.42,3410720,915509401.3,31074,1845841,54.12,5,2018,464.61273219384105,-0.01878453038674044,Slight or No change
247,IGL,EQ,2018-05-08,266.4,267.8,270.0,260.3,        269.10,268.15,264.23,5176974,1367926722.6,30065,2823105,54.53,5,2018,461.5975578961469,0.006569069069069178,Slight or No change
248,IGL,EQ,2018-05-09,268.15,268.3,273.1,266.8,        267.50,267.6,269.7,1375896,371075841.3,21041,375712,27.31,5,2018,460.80947791779187,-0.0020510908073837486,Slight or No change
249,IGL,EQ,2018-05-10,267.6,267.8,270.1,260.9,        262.90,262.55,263.55,1346387,354838951.15,24769,633773,47.07,5,2018,460.0244785472545,-0.018871449925261574,Slight or No change
250,IGL,EQ,2018-05-11,262.55,262.85,267.4,258.0,        266.95,266.5,263.57,2534394,667984781.75,29863,1284845,50.7,5,2018,458.5927831744795,0.015044753380308418,Slight or No change
251,IGL,EQ,2018-05-14,266.5,267.0,271.0,264.7,        269.45,269.45,268.9,2262974,608503396.25,45517,1333129,58.91,5,2018,457.35155813159076,0.011069418386491447,Slight or No change
252,IGL,EQ,2018-05-15,269.45,269.4,273.4,265.7,        267.65,269.35,270.22,2285779,617653550.65,33765,1345227,58.85,5,2018,456.1135951632369,-0.0003711263685283184,Slight or No change
253,IGL,EQ,2018-05-16,269.35,268.0,270.7,265.2,        270.00,269.25,269.35,1331129,358543243.15,11846,838719,63.01,5,2018,455.39976547708017,-0.0003712641544459938,Slight or No change
254,IGL,EQ,2018-05-17,269.25,268.0,276.5,267.25,        273.20,273.2,272.45,3081910,839658630.95,31840,1496321,48.55,5,2018,453.80244034038805,0.01467038068709381,Slight or No change
255,IGL,EQ,2018-05-18,273.2,275.25,276.85,265.1,        266.80,265.95,270.68,2310681,625457677.0,20324,1378629,59.66,5,2018,452.5757438984155,-0.02653733528550517,Slight or No change
256,IGL,EQ,2018-05-21,265.95,260.75,266.3,258.55,        259.00,259.4,261.36,1405779,367415705.65,19761,570168,40.56,5,2018,451.8113310706094,-0.024628689603308884,Slight or No change
257,IGL,EQ,2018-05-22,259.4,257.9,262.65,247.5,        259.80,259.1,254.28,4399507,1118696196.35,51933,1881824,42.77,5,2018,449.45397983177327,-0.0011565150346952713,Slight or No change
258,IGL,EQ,2018-05-23,259.1,259.1,265.5,256.25,        265.00,262.7,261.15,4005066,1045926350.45,34603,1940130,48.44,5,2018,447.3972224084992,0.01389424932458505,Slight or No change
259,IGL,EQ,2018-05-24,262.7,265.0,270.25,244.2,        252.10,252.95,257.65,8726696,2248438792.9,91498,2611945,29.93,5,2018,442.84045857057396,-0.037114579368100475,Slight or No change
260,IGL,EQ,2018-05-25,252.95,255.0,259.0,252.1,        257.00,257.5,257.1,4899588,1259689018.7,69902,3066846,62.59,5,2018,440.4335595110658,0.01798774461356012,Slight or No change
261,IGL,EQ,2018-05-28,257.5,261.0,263.0,258.05,        260.70,260.85,260.91,4551898,1187654769.3,40134,3097928,68.06,5,2018,438.29274592130736,0.013009708737864223,Slight or No change
262,IGL,EQ,2018-05-29,260.85,266.3,270.0,264.25,        269.90,268.85,267.45,4353320,1164305667.0,66432,1593148,36.6,5,2018,436.38271684168933,0.030668966839179523,Slight or No change
263,IGL,EQ,2018-05-30,268.85,268.0,268.5,263.0,        263.90,263.9,265.83,2518709,669552893.95,25732,1164049,46.22,5,2018,435.2650901782829,-0.01841175376604076,Slight or No change
264,IGL,EQ,2018-05-31,263.9,264.5,269.6,260.1,        266.00,265.0,263.9,4234976,1117607788.0,57408,3177972,75.04,5,2018,433.43005781863593,0.004168245547556015,Slight or No change
265,IGL,EQ,2018-06-01,265.0,264.9,266.65,260.35,        265.90,265.75,264.3,2155593,569733913.55,27079,1162047,53.91,6,2018,432.51522985357053,0.002830188679245227,Slight or No change
266,IGL,EQ,2018-06-04,265.75,267.0,271.5,263.9,        266.80,267.85,268.89,2424074,651817298.45,32205,912365,37.64,6,2018,431.5111167467923,0.007902163687676378,Slight or No change
267,IGL,EQ,2018-06-05,267.85,266.1,268.65,254.55,        260.50,260.1,260.86,2663842,694901104.6,39638,1390209,52.19,6,2018,430.3701269006874,-0.028934104909464242,Slight or No change
268,IGL,EQ,2018-06-06,260.1,260.5,263.55,256.0,        263.50,262.9,261.23,2044933,534188888.05,39061,1138470,55.67,6,2018,429.5187199131287,0.01076509034986528,Slight or No change
269,IGL,EQ,2018-06-07,262.9,265.0,267.25,262.05,        262.70,262.85,264.83,1613543,427308036.75,15842,918089,56.9,6,2018,428.85280804455226,-0.00019018638265477783,Slight or No change
270,IGL,EQ,2018-06-08,262.85,262.85,281.4,262.7,        276.55,279.0,274.37,5861064,1608127236.9,69635,1918754,32.74,6,2018,426.70909907599565,0.06144188700779907,Slight or No change
271,IGL,EQ,2018-06-11,279.0,282.65,288.4,275.0,        275.50,276.75,282.72,5808692,1642254680.0,75450,1742686,30.0,6,2018,424.61275950713923,-0.008064516129032251,Slight or No change
272,IGL,EQ,2018-06-12,276.75,277.85,279.3,271.15,        273.00,273.4,273.87,1955602,535577922.35,31881,700253,35.81,6,2018,423.9044220740404,-0.01210478771454393,Slight or No change
273,IGL,EQ,2018-06-13,273.4,274.45,274.75,267.35,        268.00,267.8,270.13,1714842,463225374.7,25048,776710,45.29,6,2018,423.26582001392666,-0.02048280907095823,Slight or No change
